Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
853000,82.80%,80.62%,0.0100,23.248683984655642,0.6559,25981904,maxbp
854000,83.50%,80.63%,0.0100,23.221779018899227,0.6703,25983385,maxbp
855000,83.00%,80.63%,0.0100,23.805148740634312,0.6596,25984960,maxbp
856000,82.00%,80.63%,0.0100,24.417575195339396,0.6402,25986382,maxbp
857000,84.80%,80.64%,0.0100,23.74074665240207,0.6959,25987623,maxbp
858000,82.00%,80.64%,0.0100,23.769517023545188,0.6404,25989023,maxbp
859000,83.10%,80.64%,0.0100,23.799815186323983,0.6622,25990379,maxbp
860000,82.40%,80.65%,0.0100,23.781906601377358,0.6479,25991727,maxbp
861000,83.70%,80.65%,0.0100,23.36291638051927,0.6744,25993038,maxbp
862000,81.80%,80.65%,0.0100,23.713611697590157,0.6352,25994317,maxbp
863000,83.20%,80.65%,0.0100,22.700175026915943,0.6644,25995639,maxbp
864000,83.80%,80.66%,0.0100,22.982759736734987,0.6758,25996849,maxbp
865000,82.30%,80.66%,0.0100,23.724242961899478,0.6462,25998200,maxbp
866000,80.70%,80.66%,0.0100,24.35110666234072,0.6139,25999665,maxbp
867000,83.80%,80.67%,0.0100,24.280783141489106,0.6760,26001007,maxbp
868000,81.80%,80.67%,0.0100,24.39533238512707,0.6359,26002190,maxbp
869000,84.80%,80.67%,0.0100,24.077737067919916,0.6963,26003532,maxbp
870000,81.80%,80.67%,0.0100,23.866973787432364,0.6357,26005035,maxbp
871000,81.40%,80.67%,0.0100,23.18255698513955,0.6284,26006421,maxbp
872000,82.40%,80.68%,0.0100,23.30589832255758,0.6478,26007788,maxbp
873000,79.50%,80.68%,0.0100,22.544043455315574,0.5900,26009129,maxbp
874000,81.30%,80.68%,0.0100,22.69500161709375,0.6258,26010387,maxbp
875000,82.00%,80.68%,0.0100,23.280178521272532,0.6398,26011649,maxbp
876000,83.10%,80.68%,0.0100,24.192531344195384,0.6620,26012933,maxbp
877000,82.90%,80.69%,0.0100,24.403166053958284,0.6579,26014299,maxbp
878000,84.00%,80.69%,0.0100,24.535756363757578,0.6803,26015746,maxbp
879000,81.40%,80.69%,0.0100,24.33013304749127,0.6282,26017084,maxbp
880000,82.90%,80.69%,0.0100,24.077064028211222,0.6581,26018500,maxbp
881000,83.10%,80.70%,0.0100,23.44562852444315,0.6618,26019827,maxbp
882000,82.00%,80.70%,0.0100,23.699468838273056,0.6399,26021239,maxbp
883000,82.70%,80.70%,0.0100,22.96296249839378,0.6537,26022630,maxbp
884000,84.10%,80.71%,0.0100,22.96243783933771,0.6824,26023880,maxbp
